部门,员工,费用类型,金额,日期
销售部,员工32,差旅费,6656,2024-02-02
销售部,员工21,餐饮费,5086,2024-02-22
销售部,员工36,客户招待,4841,2024-02-28
销售部,员工35,客户招待,4467,2024-02-05
销售部,员工26,客户招待,4045,2024-02-15
销售部,员工09,客户招待,4320,2024-02-08
财务部,员工03,餐饮费,1524,2024-02-26
财务部,员工44,办公用品,1529,2024-02-17
财务部,员工16,餐饮费,2468,2024-02-01
财务部,员工19,客户招待,3175,2024-02-05
财务部,员工47,差旅费,1656,2024-02-04
财务部,员工36,差旅费,2484,2024-02-15
财务部,员工47,客户招待,1721,2024-02-25
IT部,员工41,客户招待,4091,2024-02-20
IT部,员工39,培训费,4676,2024-02-18
IT部,员工17,餐饮费,8846,2024-02-06
IT部,员工35,办公用品,5642,2024-02-12
IT部,员工32,软件订阅,4756,2024-02-26
IT部,员工41,差旅费,4870,2024-02-21
IT部,员工01,软件订阅,8578,2024-02-03
HR部,员工41,餐饮费,3441,2024-02-03
HR部,员工25,软件订阅,3035,2024-02-21
HR部,员工23,客户招待,3580,2024-02-09
HR部,员工18,差旅费,3597,2024-02-27
HR部,员工39,办公用品,1933,2024-02-10
运营部,员工15,客户招待,3325,2024-02-19
运营部,员工37,培训费,4100,2024-02-13
运营部,员工21,客户招待,2528,2024-02-25
运营部,员工32,差旅费,2513,2024-02-09
运营部,员工18,差旅费,2860,2024-02-28
运营部,员工47,软件订阅,2193,2024-02-10
